timestamp,epoch,split,loss,rougeL
2025-08-16T23:34:32.633362,1,train,0.33627884139391534,0.0
2025-08-16T23:34:43.080053,1,val,0.3324162194654223,0.10871935995400003
2025-08-16T23:35:31.105514,2,train,0.3292178086628653,0.0
2025-08-16T23:35:41.203328,2,val,0.3315156058544762,0.10810171223232837
2025-08-16T23:36:29.015149,3,train,0.32852930035662986,0.0
2025-08-16T23:36:39.255847,3,val,0.33071004619698713,0.10893921044082318
2025-08-16T23:36:49.917007,3,test,0.32646484847976126,0.10691326531056675
2025-08-16T23:43:56.764808,1,train,0.33627884139391534,0.0
2025-08-16T23:44:06.925326,1,val,0.3324162194654223,0.10871935995400003
2025-08-16T23:44:55.006751,2,train,0.3292178086628653,0.0
2025-08-16T23:45:05.095409,2,val,0.3315156058544762,0.10810171223232837
2025-08-16T23:45:52.927922,3,train,0.32852930035662986,0.0
2025-08-16T23:46:03.068641,3,val,0.33071004619698713,0.10893921044082318
2025-08-16T23:46:13.721009,3,test,0.32646484847976126,0.10691326531056675
2025-08-17T11:34:50.701135,1,train,0.36856483621315717,0.0
2025-08-17T11:35:43.058968,1,val,0.3668089344602004,0.11075976488083797
2025-08-17T11:50:32.282577,2,train,0.364248957723083,0.0
2025-08-17T11:51:24.146562,2,val,0.3654385351226117,0.11128449629951565
2025-08-17T12:06:14.798966,3,train,0.36217777797016004,0.0
2025-08-17T12:07:06.724194,3,val,0.3633595225733714,0.11183533321936102
2025-08-17T12:07:58.665584,3,test,0.3605991872574459,0.11205548225195684
