timestamp,epoch,split,loss,token_f1,entity_f1
2025-08-12T16:49:00.279780,1,train,1.2313020585536958,0.5578928408834675,0.07449942779832427
2025-08-12T16:53:31.018921,1,val,1.1153269351959227,0.5981137113296497,0.14193362805704116
2025-08-12T23:59:52.337858,1,train,1.1169072323165756,0.6150097113543352,0.07212297060361392
2025-08-13T00:05:21.316047,1,val,1.0694976007933343,0.6227387887689502,0.08423374354387442
2025-08-13T00:30:43.853792,2,train,1.101742517547102,0.6188665634874829,0.08006620412409156
2025-08-13T00:36:16.403966,2,val,1.062096979102927,0.627887769760839,0.09227369056467558
2025-08-13T01:01:45.548526,3,train,1.0990882671986872,0.6197561890240911,0.08105252813625895
2025-08-13T01:07:17.979588,3,val,1.0610423343287463,0.6248198502604317,0.08536427822567792
2025-08-13T01:32:47.612195,4,train,1.09850180914093,0.6196942260811191,0.0810369719418772
2025-08-13T01:38:19.267324,4,val,1.0619833213814218,0.6255645483819033,0.0846179243199058
